12,Patient Position Sensor,It allows the user to monitor five different patient positions using a triple axis accelerometer.,http://amicus.com.sg/shop/cooking-hacks/e-health/patient-position-sensor-accelerometer-for-e-health-platform/,https://www.cooking-hacks.com/patient-position-sensor-accelerometer-ehealth-medical,$129.00,No,NULL,0-5V,NULL,NULL,health,"monitoring sleep apnoea , restless leg synndrome etc...",/static/img/health1.jpg
13,Glucometer Sensor,It allows the user to measure the approximate concentration of glucose in blood.,https://www.cooking-hacks.com/glucometer-sensor-ehealth-medical,https://en.wikipedia.org/wiki/Glucose_meter,Rs.48,No,NULL,NULL,NULL,NULL,health,monitor hypoglycemia,/static/img/health2.jpg
14,Body Temperature Sensor,It allows you to measure this key parameter for body monitoring.,https://www.cooking-hacks.com/body-temperature-sensor-ehealth-medical,https://www.cooking-hacks.com/documentation/tutorials/ehealth-biometric-sensor-platform-arduino-raspberry-pi-medical#step4_4,Rs.48,No,NULL,?36.5-37.5 �C (97.7-99.5 �F),NULL,NULL,health,NTC thermistors,/static/img/health3.jpg
15,Blood Pressure Sensor (Sphygmomanometer),It allows the user to monitor the pressure of the blood against the arteries as the heart pumps.,https://www.cooking-hacks.com/blood-pressure-sensor-sphygmomanometer-v2-0,https://en.wikipedia.org/wiki/Sphygmomanometer,Rs. 180,No,NULL, 0 to 40 mV,NULL,NULL,health, Body Monitoring,/static/img/health4.jpg
16,Pulse and Oxygen in Blood Sensor,It allows you to measure the amount of Oxygen dissolved in blood.,"https://www.amazon.in/Invento-INVNT_11-Heartbeat-Detector-Arduino/dp/B01MU8KP38?tag=googinhydr18418-21&tag=googinkenshoo-21&ascsubtag=a9b9e2ae-53ee-4af5-a24b-a9c2eb938f12,   https://www.tenettech.com/product/pulse-and-oxygen-in-blood-sensor-spo2-for-e-health-platform-biometric-medical-applications",https://en.wikipedia.org/wiki/Pulse_oximetry,  Rs. 487.00,No,NULL,3.3V,NULL,NULL,health,"Pulse Oximeter, Heart Rate Meter, Plethysmograph",/static/img/health5.jpg
17,Airflow Sensor,It allows monitoring the patients breathing (airflow rate).,https://www.amazon.in/Generic-Pressure-Transducer-Sensor-0-1-0MPa/dp/B019EV9UXI?tag=googinhydr18418-21,https://sensing.honeywell.com/sensors/airflow-sensors,"   Rs. 1,450.00",No,NULL, 1 - 5V,NULL,NULL,health,"Ventilation, Home Care Devices, Critical Care Devices, Anesthesia, etc..",/static/img/health6.jpg
18,Galvanic Skin Response Sensor,It allows you to measure the electrical conductance of the skin. It acts as an indicator of psychological or physiological arousal.,https://www.indiamart.com/proddetail/galvanic-skin-response-sensor-arduino-12730657955.html,http://wiki.seeed.cc/Grove-GSR_Sensor/,"Rs,700",No,NULL,NULL,NULL,NULL,health,Noninvasive biomedical research,/static/img/health7.jpg
2,RFID reader - Passive RC522,"RC522 is the high integrated RFID card reader which works on non-contact 13.56mhz communication, is designed by NXP as low power consumption, low cost and compact size read and write chip, is the best choice in the development of smart meters and portable hand-held devices.",http://www.rhydolabz.com/wireless-rfid-reader-tag-c-130_98/rc522-rfid-reader-writer-1356mhz-with-cards-kit-p-2156.html,http://www.instructables.com/id/RFID-CARD-READER-WITH-ARDUINORFID-RC522-and-LCD-16/,? 269,Yes,RF,25m,Passive,NULL,assetTag,"Supply chain management,Personnel tracking,Inventory management,.. Etc.",\static\img\assettag2.jpg
3,RFID Tag (125khz) - Passive,This basic RFID tag works in the 125khz RF range and comes with a unique 40-bit ID. It is not reprogrammable.,http://www.sunrom.com/p/active-rfid-transmitter-tag,http://www.instructables.com/id/RFID-CARD-READER-WITH-ARDUINORFID-RC522-and-LCD-16/,? 19,Yes,RF,25m,Passive,NULL,assetTag,"ID badging,Counterfeit forestalling (e.g., in the pharmaceutical industry),..etc",\static\img\assettag3.jpg
5,Barcodes,Assets can be tracked via manually scanning barcodes such as QR codes.,https://www.ebay.in/itm/252171210097?aff_source=Sok-Goog,https://en.wikipedia.org/wiki/Barcode,Rs. 299,No,NULL,50 feet,NULL,NULL,assetTag,"Laboratories, Libraries, Industry",\static\img\assettag5.jpg
